City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Saint-Leu,RE,-21.15,55.2833,77.0,62,71,0.69,broken clouds
171,Marsabit,KE,2.3284,37.9899,68.63,62,3,6.55,clear sky
172,Puerto Escondido,MX,15.85,-97.0667,80.6,74,75,4.61,broken clouds
173,Puerto Ayora,EC,-0.7393,-90.3518,77.0,93,52,7.4,broken clouds
174,Cidreira,BR,-30.1811,-50.2056,68.36,76,15,4.07,few clouds
175,Hasaki,JP,35.7333,140.8333,57.0,54,20,4.61,few clouds
176,Thompson,CA,55.7435,-97.8558,-27.4,68,40,12.66,snow
177,Srednekolymsk,RU,67.45,153.6833,-14.62,83,0,0.98,clear sky
178,Bagdarin,RU,54.4333,113.6,-13.25,80,0,2.28,clear sky
179,Waingapu,ID,-9.6567,120.2641,83.7,71,92,8.14,overcast clouds
180,Narsaq,GL,60.9167,-46.05,21.67,79,99,2.53,overcast clouds
181,Krasnoselkup,RU,65.7,82.4667,-10.77,89,100,11.95,overcast clouds
182,Ati,TD,13.2154,18.3353,64.54,24,22,11.81,few clouds
183,Bambanglipuro,ID,-7.95,110.2833,80.42,80,97,6.15,overcast clouds
184,Jupiter,US,26.9342,-80.0942,73.0,89,3,1.01,clear sky
185,Ingham,US,42.6,-84.3833,17.01,86,90,5.75,light snow
186,Cockburn Town,TC,21.4612,-71.1419,77.0,78,40,17.27,scattered clouds
187,Bowen,AU,-20.0167,148.2333,87.8,66,40,6.91,scattered clouds
188,Scottsbluff,US,41.8666,-103.6672,12.2,79,90,21.85,light snow
189,Lavrentiya,RU,65.5833,-171.0,-9.15,79,0,0.63,clear sky
190,Lorengau,PG,-2.0226,147.2712,85.77,67,100,5.73,overcast clouds
191,Bitung,ID,1.4451,125.1824,78.8,89,40,3.44,heavy intensity rain
192,Meulaboh,ID,4.1363,96.1285,76.89,88,82,5.66,broken clouds
193,Gerash,IR,27.6652,54.1371,48.2,71,0,4.38,clear sky
194,Touros,BR,-5.1989,-35.4608,77.0,88,20,4.61,few clouds
195,Huarmey,PE,-10.0681,-78.1522,71.04,77,100,7.27,overcast clouds
196,Verkhnetulomskiy,RU,68.6073,31.7962,23.0,86,75,11.18,light snow
197,Gurgentepe,TR,40.7883,37.6017,48.2,71,0,11.95,clear sky
198,Rostov,RU,57.1914,39.4139,1.4,71,75,8.95,broken clouds
199,Pevek,RU,69.7008,170.3133,-7.38,87,0,5.06,clear sky
200,Niquelandia,BR,-14.4739,-48.4597,69.84,95,100,3.33,light rain
201,Sisimiut,GL,66.9395,-53.6735,23.31,79,0,22.79,clear sky
202,Vao,NC,-22.6667,167.4833,78.39,79,2,4.76,clear sky
203,Sabha,LY,27.0377,14.4283,59.99,30,37,13.22,scattered clouds
204,Chimbote,PE,-9.0853,-78.5783,70.7,77,100,7.65,overcast clouds
205,Broome,US,42.2506,-75.833,24.8,33,1,3.44,clear sky
206,Portobelo,PA,9.55,-79.65,81.0,78,100,9.04,overcast clouds
207,Mustafakemalpasa,TR,40.0353,28.4117,50.0,87,0,6.91,clear sky
208,Koshurnikovo,RU,54.1667,93.3,10.89,97,77,3.29,broken clouds
209,Pasinler,TR,39.9803,41.6764,14.0,92,0,3.0,clear sky
210,Pangai,TO,-19.8,-174.35,82.4,89,75,9.22,heavy intensity rain
211,Longyearbyen,SJ,78.2186,15.6401,15.8,86,75,12.66,broken clouds
212,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,75,6.91,light rain
213,Vaitape,PF,-16.5167,-151.75,82.85,65,0,8.77,clear sky
214,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,75.45,82,91,1.95,overcast clouds
215,Boz,FR,46.4071,4.9109,48.99,94,100,7.96,overcast clouds
216,Havoysund,NO,70.9963,24.6622,27.36,94,100,22.37,light snow
217,Lasa,IT,46.6166,10.7002,39.0,100,90,11.5,light snow
218,Madanapalle,IN,13.55,78.5,60.53,51,36,1.86,scattered clouds
